"","DATE","RRVRUSQ156N"
"1","2013-01-01",8.6
"2","2013-04-01",8.2
"3","2013-07-01",8.3
"4","2013-10-01",8.2
"5","2014-01-01",8.3
"6","2014-04-01",7.5
"7","2014-07-01",7.4
"8","2014-10-01",7
"9","2015-01-01",7.1
"10","2015-04-01",6.8
"11","2015-07-01",7.3
"12","2015-10-01",7
"13","2016-01-01",7
"14","2016-04-01",6.7
"15","2016-07-01",6.8
"16","2016-10-01",6.9
"17","2017-01-01",7
"18","2017-04-01",7.3
"19","2017-07-01",7.5
"20","2017-10-01",6.9
"21","2018-01-01",7
"22","2018-04-01",6.8
"23","2018-07-01",7.1
"24","2018-10-01",6.6
"25","2019-01-01",7
"26","2019-04-01",6.8
"27","2019-07-01",6.8
"28","2019-10-01",6.4
"29","2020-01-01",6.6
"30","2020-04-01",5.7
"31","2020-07-01",6.4
"32","2020-10-01",6.5
"33","2021-01-01",6.8
"34","2021-04-01",6.2
"35","2021-07-01",5.8
"36","2021-10-01",5.6
"37","2022-01-01",5.8
"38","2022-04-01",5.6
"39","2022-07-01",6
"40","2022-10-01",5.8
