"period_begin","period_end","period_duration","region_type","region_type_id","table_id","is_seasonally_adjusted","region","city","state","state_code","property_type","property_type_id","median_sale_price","median_sale_price_mom","median_sale_price_yoy","median_list_price","median_list_price_mom","median_list_price_yoy","median_ppsf","median_ppsf_mom","median_ppsf_yoy","median_list_ppsf","median_list_ppsf_mom","median_list_ppsf_yoy","homes_sold","homes_sold_mom","homes_sold_yoy","pending_sales","pending_sales_mom","pending_sales_yoy","new_listings","new_listings_mom","new_listings_yoy","inventory","inventory_mom","inventory_yoy","months_of_supply","months_of_supply_mom","months_of_supply_yoy","median_dom","median_dom_mom","median_dom_yoy","avg_sale_to_list","avg_sale_to_list_mom","avg_sale_to_list_yoy","sold_above_list","sold_above_list_mom","sold_above_list_yoy","price_drops","price_drops_mom","price_drops_yoy","off_market_in_two_weeks","off_market_in_two_weeks_mom","off_market_in_two_weeks_yoy","parent_metro_region","parent_metro_region_metro_code","last_updated"
"2015-01-01","2015-01-31",30,"place",6,29470,"f","Chicago, IL","Chicago","Illinois","IL","Multi-Family (2-4 Unit)",4,170000,-0.081081081081081,0.0429447852760736,230000,0.278488048916064,0.000434971726837707,52.6961639058413,-0.356703660296997,-0.253443820330867,170.952380952381,0.312606443160841,0.0116065649560797,225,-0.22680412371134,-0.0343347639484979,199,-0.0432692307692307,0.0364583333333333,358,0.205387205387205,-0.00831024930747926,1395,-0.0189873417721519,0.0234776228906823,6.2,1.3,0.4,50,3,-11,0.974619263001255,-0.00411963701222351,-0.00233069284500198,0.248888888888889,-0.0363344788087056,-0.0472484501669051,0.211469534050179,0.0300349348940611,-0.000562747681295467,0.371859296482412,0.0449362195593351,-0.0187657035175879,"Chicago, IL",16984,"2023-02-12 14:58:17"
"2018-12-01","2018-12-31",30,"place",6,11203,"f","Los Angeles, CA","Los Angeles","California","CA","Single Family Residential",6,753500,-0.0277419354838709,0.0421853388658369,699000,-0.0489795918367347,0.0753937148698951,462.380737735707,-0.00709820528332317,0.0412129205307781,451.162790697674,-0.0730116282188702,0.0438471686887241,1212,-0.0441640378548895,-0.158917418459403,980,-0.145597210113339,-0.0984360625574977,775,-0.473147518694765,-0.0408415841584159,3869,-0.171342899978582,0.311080989495086,3.2,-0.5,1.2,44,2,4,0.989897254393494,-0.00330437320517507,-0.011543663800426,0.33993399339934,-0.0173215271053919,-0.0743616346367461,0.126906177306798,-0.094768699540493,0.0140630732742663,0.183673469387755,-0.0325427468284611,-0.0683964478155567,"Los Angeles, CA",31084,"2023-02-12 14:58:17"
"2013-03-01","2013-03-31",30,"place",6,11203,"f","Los Angeles, CA","Los Angeles","California","CA","Multi-Family (2-4 Unit)",4,362000,0.0342857142857143,0.206666666666667,475000,0.0579064587973275,0.338028169014085,171.441649574174,-0.0202922952024337,0.129305376669977,303.015367273229,0.0642306337833221,0.285519739947033,198,-0.0246305418719212,-0.175,248,0.32620320855615,-0.00401606425702816,363,0.339483394833948,0.113496932515337,629,0.0553691275167785,-0.365287588294652,3.2,0.3,-0.899999999999999,30,-7,-38,0.984470896296683,-0.00129364409367627,0.00168275713072752,0.282828282828283,-0.0718515201273822,-0.0338383838383838,0.151033386327504,0.0285501648509939,-0.0225286721992367,0.495967741935484,0.0200319130584785,0.166650472859179,"Los Angeles, CA",31084,"2023-02-12 14:58:17"
"2021-03-01","2021-03-31",30,"place",6,11203,"f","Los Angeles, CA","Los Angeles","California","CA","All Residential",-1,896250,0.0544117647058824,0.149038461538461,905000,0.00667408231368194,0.13125,562.5,0.0320139697322468,0.1071875,571.973827699019,0.00270944269323747,0.121528768160316,2797,0.359086491739553,0.459812108559499,2476,0.287571502860114,0.47205707491082,3415,0.216168091168091,0.463153384747215,6143,0.00820613819136717,0.0441951385347612,2.2,-0.8,-0.9,40,-10,-4,1.01664231441402,0.00936640797456967,0.0129221507361448,0.513407222023597,0.0571390004492526,0.0739500195183775,0.125834282923653,0.00733764744031142,-0.00165169361892736,0.34248788368336,-0.00332594886994186,0.0856507849913269,"Los Angeles, CA",31084,"2023-02-12 14:58:17"
"2015-10-01","2015-10-31",30,"place",6,30818,"f","Austin, TX","Austin","Texas","TX","All Residential",-1,308637.5,0.0186056105610561,0.102276785714286,325000,-0.0425688613934305,0.0836945648549516,170.915306198323,-0.000917960853949795,0.0969206081603857,183.702702702703,-0.0072470735627419,0.107249166975194,1010,-0.141156462585034,-0.120209059233449,1010,-0.0165530671859786,0.0202020202020201,1213,-0.00410509031198691,-0.0178137651821862,2565,-0.0461137969505392,0.0477941176470589,2.5,0.2,0.4,27,7,1,0.981016070484732,-0.0034656810662953,0.00126555369453119,0.189108910891089,-0.032829864619115,-0.00165763963155896,0.3364522417154,-0.0313424775110786,-0.014854947827084,0.454455445544554,0.00752263152313287,0.0150615061506151,"Austin, TX",12420,"2023-02-12 14:58:17"
"2013-09-01","2013-09-30",30,"place",6,8907,"f","Jacksonville, FL","Jacksonville","Florida","FL","Single Family Residential",6,140500,-0.110759493670886,0.124899919935949,129900,-0.0342007434944238,0.124675324675325,77.5530965910604,-0.0869203219299665,0.162331929338393,79.8080860162873,0.000622553972994488,0.124568484774957,790,-0.126106194690266,0.303630363036304,463,-0.128060263653484,0.787644787644788,1070,-0.139871382636656,0.293833131801693,5065,0.011583782704214,0.089013115459041,6.4,0.9,-1.3,91,8,-35,0.971637452400546,0.00383779217231628,0.0165010355722832,0.229113924050633,0.0299988798028453,0.0756485775159794,NA,NA,NA,0.0453563714902808,0.00769158806278549,-0.0125586864247771,"Jacksonville, FL",27260,"2023-02-12 14:58:17"
"2015-08-01","2015-08-31",30,"place",6,9170,"f","Indianapolis, IN","Indianapolis","Indiana","IN","Multi-Family (2-4 Unit)",4,50000,0.111111111111111,0.406469760900141,119900,-0.000833333333333353,0.00125260960334028,68.5871056241427,0.431261770244821,0.947970270634293,68.9953810623557,-0.00440669463187227,0.0268166480349696,25,0.0416666666666667,-0.166666666666667,29,1.07142857142857,0.611111111111111,64,0.12280701754386,0.12280701754386,231,0.0452488687782806,-0.121673003802281,9.2,0,0.399999999999999,69,-2,-8,0.942506296578887,0.0438103893225598,0.0315489750971298,0.04,-0.0433333333333333,-0.16,0.225108225108225,0.0260132024837907,NA,0.172413793103448,0.172413793103448,0.00574712643678163,"Indianapolis, IN",26900,"2023-02-12 14:58:17"
"2022-04-01","2022-04-30",30,"place",6,3105,"f","Charlotte, NC","Charlotte","North Carolina","NC","Condo/Co-op",3,295000,0.0350877192982457,0.204081632653061,405000,0.0438144329896908,0.157473563875393,273.704789833822,0.0316867596280821,0.0617802379588979,232.856066314996,0.0685097422155205,0.227404714751252,183,-0.0663265306122449,-0.132701421800948,NA,NA,NA,191,0.0105820105820107,-0.151111111111111,213,0.0441176470588236,-0.4453125,1.2,0.2,-0.6,27,-2,-12,1.03556588987536,0.014622028660578,0.0316618183323671,0.622950819672131,0.0566242890598863,0.224846554269288,0.107981220657277,0.00504004418668877,-0.0274354460093897,0.453416149068323,0.0151445441300514,0.154565574355679,"Charlotte, NC",16740,"2023-02-12 14:58:17"
"2015-06-01","2015-06-30",30,"place",6,29470,"f","Chicago, IL","Chicago","Illinois","IL","Townhouse",13,518250,0.121025308241402,0.124796527400977,265000,-0.0181548721748795,0.0114503816793894,246.467481016837,0.10771901580601,0.0338830697199797,198.75,0.012691073787507,0.0191066989384197,152,0.206349206349206,0.0133333333333334,133,-0.0567375886524822,0.254716981132076,217,0.315151515151515,0.315151515151515,402,0.132394366197183,0.107438016528926,2.6,-0.2,0.2,29,-7,-1,0.981548628569769,-0.00309480978304011,-0.000544511037758766,0.230263157894737,-0.047514619883041,0.00359649122807018,0.203980099502488,0.0180646065447411,-0.0356893219851158,0.458646616541353,0.0402069002292966,0.0246843523904099,"Chicago, IL",16984,"2023-02-12 14:58:17"
"2014-01-01","2014-01-31",30,"place",6,16163,"f","Seattle, WA","Seattle","Washington","WA","Single Family Residential",6,465000,0.0109245067666721,0.130286825473991,410000,0.0148514851485149,0.0817941952506596,247.402597402597,0.0253567725050614,0.115699788327055,289.214912280702,0.0478258313585409,0.118180451127819,330,-0.260089686098655,0.0610932475884245,296,0.116981132075472,0.0206896551724138,389,0.974619289340102,0.00516795865633068,566,-0.0341296928327645,-0.0796747967479675,1.7,0.4,-0.3,36,14,8,0.991839028018432,-0.00529382536470546,-0.000259708470725539,0.293939393939394,-0.0132354939529827,0.0174120627496833,0.254416961130742,0.0223350498679434,0.0332787497486282,0.638513513513513,0.234739928607853,0.0764445479962721,"Seattle, WA",42644,"2023-02-12 14:58:17"
